#separator:Semicolon
#html:false
#columns:ID;Deck;Infinitiv;Präsens;Präteritum;Perfekt;Englische Übersetzung;Tags
#deck:DKFA B1 Verbliste
#guid column:1
#deck column:2
#tags column:8

DKFA_B1_V043;DKFA B1 Verbliste::Gruppe 3a;leihen;leiht;lieh;geliehen;to lend, borrow;gruppe_3a
DKFA_B1_V044;DKFA B1 Verbliste::Gruppe 3a;reiben;reibt;rieb;gerieben;to rub;gruppe_3a
DKFA_B1_V045;DKFA B1 Verbliste::Gruppe 3a;scheinen;scheint;schien;geschienen;to shine, seem;gruppe_3a
DKFA_B1_V046;DKFA B1 Verbliste::Gruppe 3a;schreiben;schreibt;schrieb;geschrieben;to write;gruppe_3a
DKFA_B1_V047;DKFA B1 Verbliste::Gruppe 3a;schreien;schreit;schrie;geschrien;to scream, shout;gruppe_3a
DKFA_B1_V048;DKFA B1 Verbliste::Gruppe 3a;schweigen;schweigt;schwieg;geschwiegen;to be silent;gruppe_3a
DKFA_B1_V049;DKFA B1 Verbliste::Gruppe 3a;steigen;steigt;stieg;ist gestiegen;to rise, climb;gruppe_3a
DKFA_B1_V050;DKFA B1 Verbliste::Gruppe 3a;aussteigen;steigt aus;stieg aus;ist ausgestiegen;to get out;gruppe_3a
DKFA_B1_V051;DKFA B1 Verbliste::Gruppe 3a;einsteigen;steigt ein;stieg ein;ist eingestiegen;to get in;gruppe_3a
DKFA_B1_V052;DKFA B1 Verbliste::Gruppe 3a;umsteigen;steigt um;stieg um;ist umgestiegen;to change;gruppe_3a
DKFA_B1_V053;DKFA B1 Verbliste::Gruppe 3a;vermeiden;vermeidet;vermied;vermieden;to avoid;gruppe_3a
DKFA_B1_V054;DKFA B1 Verbliste::Gruppe 3a;verzeihen;verzeiht;verzieh;verziehen;to forgive;gruppe_3a
DKFA_B1_V055;DKFA B1 Verbliste::Gruppe 3b;ausweichen;weicht aus;wich aus;ist ausgewichen;to evade, dodge;gruppe_3b
DKFA_B1_V056;DKFA B1 Verbliste::Gruppe 3b;beißen;beißt;biss;gebissen;to bite;gruppe_3b
DKFA_B1_V057;DKFA B1 Verbliste::Gruppe 3b;gleichen;gleicht;glich;geglichen;to resemble;gruppe_3b
DKFA_B1_V058;DKFA B1 Verbliste::Gruppe 3b;vergleichen;vergleicht;verglich;verglichen;to compare;gruppe_3b
DKFA_B1_V059;DKFA B1 Verbliste::Gruppe 3b;gleiten;gleitet;glitt;ist geglitten;to glide;gruppe_3b
DKFA_B1_V060;DKFA B1 Verbliste::Gruppe 3b;leiden;leidet;litt;gelitten;to suffer;gruppe_3b
DKFA_B1_V061;DKFA B1 Verbliste::Gruppe 3b;reißen;reißt;riss;gerissen;to tear, rip;gruppe_3b
DKFA_B1_V062;DKFA B1 Verbliste::Gruppe 3b;zerreißen;zerreißt;zerriss;zerrissen;to tear apart;gruppe_3b
DKFA_B1_V063;DKFA B1 Verbliste::Gruppe 3b;reiten;reitet;ritt;ist geritten;to ride;gruppe_3b
DKFA_B1_V064;DKFA B1 Verbliste::Gruppe 3b;schneiden;schneidet;schnitt;geschnitten;to cut;gruppe_3b
DKFA_B1_V065;DKFA B1 Verbliste::Gruppe 3b;streichen;streicht;strich;gestrichen;to paint, shove;gruppe_3b
DKFA_B1_V066;DKFA B1 Verbliste::Gruppe 3b;anstreichen;streicht an;strich an;angestrichen;to paint, highlight;gruppe_3b
DKFA_B1_V067;DKFA B1 Verbliste::Gruppe 3b;unterstreichen;unterstreicht;unterstrich;unterstrichen;to underline, emphasize;gruppe_3b
DKFA_B1_V068;DKFA B1 Verbliste::Gruppe 3b;streiten;streitet;stritt;gestritten;to argue;gruppe_3b
DKFA_B1_V069;DKFA B1 Verbliste::Gruppe 4a;befehlen;befiehlt;befahl;befohlen;to command;gruppe_4a
DKFA_B1_V070;DKFA B1 Verbliste::Gruppe 4a;brechen;bricht;brach;gebrochen;to break;gruppe_4a
DKFA_B1_V071;DKFA B1 Verbliste::Gruppe 4a;einbrechen;bricht ein;brach ein;eingebrochen;to break in;gruppe_4a
DKFA_B1_V072;DKFA B1 Verbliste::Gruppe 4a;empfehlen;empfiehlt;empfahl;empfohlen;to recommend;gruppe_4a
DKFA_B1_V073;DKFA B1 Verbliste::Gruppe 4a;erschrecken;erschrickt;erschrak;ist erschrocken;to be frightened;gruppe_4a
